t;r
3.18502986125277;1.68295283119759
5.52692284111611;2.07376055066706
8.32141944284162;2.34814507333729
11.3223421332826;2.58672262533986
15.3825200217275;2.79935775349019
20.1910119436087;2.87256369707447
25.8006743760349;2.90765659744989
33.7750415413766;2.9008534932633
45.5635197519734;3.09438762612513
59.8873451876054;3.20064139894289
82.712656299755;3.34419468711429
106.261627983476;3.41709726315454
146.761915822389;3.54127239929372
193.868503458934;3.63711028641709
254.673211900649;3.75275381138251
300.548889370804;3.88768070871576
