t;r
3.2993196715832;1.68294237779107
4.48582616372487;2.03018512564045
6.77647455516958;2.55465333855584
9.37660763571218;2.92681392090736
11.8841529835729;3.24490233037273
14.4155429308214;3.58072927354541
16.5890726568722;3.77028990649
20.841676743141;4.00729508588888
23.774523262468;4.18004794099017
27.8436913342389;4.29933436402105
31.7618632846658;4.27921948214223
36.5508160376265;4.3398482280276
42.0618318592601;4.40133597281288
46.3254416033365;4.4636948869479
51.9248010451007;4.48467691317225
55.7019493315058;4.52693731331559
61.3481935257318;4.48467691317225
65.8108244725217;4.65612295113929
73.1207539443412;4.74428837808551
82.6814107229609;4.81150630314924
97.6865598696661;4.65612295113929
120.59282636536;5.01892837549271
146.279761630626;5.30946688541956
180.580521195794;5.83155148258125
198.885117922274;5.83155148258125
